Name,LTP (NAV),Change(%),Asset (Cr.),Volume,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,Exp Ratio,Margin Funding,Margin Pledge
"SBI Nifty 50 ETF","265.32","1.01%","71,521.98","4,83,139","277.16","227.33","0.87%","-2.45%","-2.61%","51.93%","125.25%","0.04%","80.00%","94.00%"
"UTI Nifty 50 ETF","273.25","1.13%","64,153.70","51,435","284.45","235.00","1.05%","-2.39%","-2.55%","51.75%","125.18%","0.05%","80.00%","-"
"Nippon Nifty 50 ETF (NIFTYBEES)","280.51","1.08%","50,840.09","49,24,597","295.30","231.30","0.84%","-2.21%","-2.69%","52.24%","130.66%","0.04%","80.00%","94.00%"
"UTI Sensex ETF","890.64","0.75%","50,119.98","50,871","939.70","779.95","0.61%","-2.93%","-3.03%","47.65%","119.80%","0.05%","80.00%","-"
"CPSE ETF","92.74","0.42%","33,173.11","8,93,109","101.80","74.90","4.18%","-1.56%","-8.12%","164.59%","463.08%","0.07%","73.50%","80.00%"
"ICICI Pru Nifty 50 ETF","279.32","1.08%","32,366.70","8,21,310","328.24","234.97","0.86%","-2.13%","-2.57%","22.17%","22.17%","0.02%","80.00%","94.00%"
"Nippon Gold ETF (GOLDBEES)","97.63","1.86%","28,691.07","3,54,28,401","97.74","61.67","12.72%","20.46%","53.53%","126.31%","121.38%","0.80%","73.50%","80.00%"
"Edelweiss Bharat Bond April 2030 ETF","1,537.11","-0.10%","25,306.74","50,370","1,579.38","1,232.00","0.56%","1.20%","8.11%","27.20%","39.54%","0.01%","73.50%","80.00%"
"ICICI Pru Sensex ETF","924.68","0.94%","23,024.60","95,731","980.00","812.04","0.81%","-2.70%","-2.80%","19.83%","19.83%","0.02%","80.00%","-"
"ICICI Pru Bharat 22 ETF","111.02","0.43%","15,917.37","3,10,924","124.00","93.02","4.39%","0.41%","-7.78%","117.90%","353.51%","0.07%","73.50%","80.00%"
"Nippon Silver ETF (SILVERBEES)","139.87","2.79%","14,512.68","3,00,50,148","140.61","77.55","17.94%","35.24%","59.54%","145.90%","126.44%","0.56%","73.50%","80.00%"
"Edelweiss Bharat Bond April 2031 ETF","1,376.87","0.11%","13,098.65","3,078","1,410.12","1,265.51","0.87%","1.21%","7.90%","28.20%","38.66%","0.01%","73.50%","80.00%"
"HDFC Gold ETF","100.89","1.66%","12,973.07","1,00,76,627","100.85","63.60","12.81%","20.60%","53.98%","94.66%","123.65%","0.59%","73.50%","80.00%"
"SBI Gold ETF","100.79","1.66%","12,321.56","2,39,04,875","100.97","62.85","12.74%","20.52%","53.88%","126.60%","123.43%","0.70%","73.50%","80.00%"
"Motilal Oswal Nasdaq 100 ETF","221.51","-0.39%","11,183.70","15,43,910","225.00","159.20","8.76%","15.32%","34.68%","144.28%","167.62%","0.58%","80.00%","91.67%"
"Nippon India Nifty Liquid ETF","1,000.00","-","10,803.35","81,77,933","1,030.00","970.00","-","-","-","-","-","0.69%","80.00%","94.00%"
"ICICI Pru Gold ETF","101.33","1.77%","10,639.35","93,53,732","102.50","63.51","12.93%","21.14%","54.63%","83.40%","83.40%","0.50%","73.50%","80.00%"
"Edelweiss Bharat Bond April 2032 ETF","1,293.40","0.04%","10,590.96","1,672","1,323.24","1,193.09","0.82%","1.16%","8.24%","28.20%","29.02%","0.01%","73.50%","80.00%"
"ICICI Pru Silver ETF","145.17","2.28%","9,810.73","1,36,21,798","147.95","86.01","17.65%","34.60%","59.14%","86.57%","86.57%","0.40%","73.50%","80.00%"
"Kotak Gold ETF","98.42","2.31%","8,488.05","40,25,941","98.19","62.07","12.52%","20.49%","53.45%","58.46%","122.77%","0.55%","73.50%","80.00%"
"Nippon Nifty Bank ETF (BANKBEES)","571.39","1.42%","7,544.59","10,03,091","596.00","490.00","2.41%","-3.34%","4.97%","48.07%","155.42%","0.19%","73.50%","80.00%"
"Nippon Nifty Next 50 Junior Bees - ETF","731.26","0.19%","6,645.49","3,72,893","828.85","595.00","2.07%","-0.71%","-11.02%","66.75%","157.66%","0.17%","80.00%","93.53%"
"Edelweiss Bharat Bond April 2033 ETF","1,256.49","0.08%","6,350.36","2,029","1,288.86","1,147.84","0.81%","0.94%","7.71%","25.33%","25.33%","0.01%","73.50%","80.00%"
"Zerodha Liquid ETF (LIQUIDCASE)","110.70","0.03%","5,494.23","1,36,80,771","113.08","101.45","0.44%","1.30%","5.82%","10.46%","10.46%","0.27%","80.00%","94.00%"
"HDFC Nifty Bank ETF","56.70","1.00%","5,429.46","35,872","59.49","48.51","2.14%","-3.34%","4.98%","48.27%","157.03%","0.16%","73.50%","-"
"Kotak Nifty Bank ETF","573.69","1.69%","5,131.62","97,924","651.60","490.15","2.79%","-3.10%","5.10%","20.70%","20.70%","0.15%","73.50%","-"
"Nippon Nifty SDL26 T20 ETF (SDL26BEES)","132.98","-0.41%","5,049.12","2,325","137.34","124.13","0.20%","1.06%","6.69%","23.60%","31.36%","0.20%","80.00%","-"
"Mirae Asset Nifty 50 ETF","267.99","0.93%","4,520.21","1,39,731","277.78","226.00","0.86%","-2.39%","-2.55%","30.87%","30.87%","0.04%","80.00%","91.00%"
"HDFC Nifty 50 ETF","277.24","0.92%","4,386.89","1,45,732","292.09","240.55","0.68%","-2.45%","-2.66%","35.73%","131.11%","0.05%","80.00%","-"
